Time Code,Frame Number,Latitude,Longitude,Altitude,Distance,Speed
"00:00:01,701 --> 00:00:01,735",52,9.365158,80.089046,200.060,0.0015106816994473003,3.1345556876139944
"00:00:01,735 --> 00:00:01,768",53,9.365158,80.089046,200.060,0.0015106816994473003,3.076048709281833
"00:00:01,768 --> 00:00:01,801",54,9.365157,80.089048,200.076,0.0016901874935047808,3.378498043651977
"00:00:01,801 --> 00:00:01,835",55,9.365157,80.089048,200.076,0.0016901874935047808,3.3158991698186435
"00:00:01,835 --> 00:00:01,868",56,9.365157,80.089048,200.076,0.0016901874935047808,3.25732065129401
"00:00:01,868 --> 00:00:01,901",57,9.365155,80.08905,200.064,0.001983841192669272,3.756879691535707
"00:00:01,901 --> 00:00:01,935",58,9.365155,80.08905,200.064,0.001983841192669272,3.6908673351986456
"00:00:01,935 --> 00:00:01,968",59,9.365155,80.08905,200.064,0.001983841192669272,3.6289777914681807
"00:00:01,968 --> 00:00:02,001",60,9.365153,80.089053,200.078,0.002337199780072223,4.20485717554223
"00:00:02,001 --> 00:00:02,035",61,9.365153,80.089053,200.078,0.002337199780072223,4.134604033542999
"00:00:02,035 --> 00:00:02,068",62,9.365153,80.089053,200.078,0.002337199780072223,4.0686263096034825
"00:00:02,068 --> 00:00:02,102",63,9.365151,80.089055,200.064,0.0026419617855159834,4.524768043700067
"00:00:02,102 --> 00:00:02,135",64,9.365151,80.089055,200.064,0.0026419617855159834,4.454830176982454
"00:00:02,135 --> 00:00:02,168",65,9.365151,80.089055,200.064,0.0026419617855159834,4.387021415063441
"00:00:02,168 --> 00:00:02,202",66,9.365148,80.089058,200.075,0.003101962165374148,5.071327790802423
"00:00:02,202 --> 00:00:02,235",67,9.365148,80.089058,200.075,0.003101962165374148,4.99644912543487
"00:00:02,235 --> 00:00:02,268",68,9.365148,80.089058,200.075,0.003101962165374148,4.923749468847855
"00:00:02,268 --> 00:00:02,302",69,9.365146,80.089061,200.061,0.0034746249496872814,5.433818340084367
"00:00:02,302 --> 00:00:02,335",70,9.365146,80.089061,200.061,0.0034746249496872814,5.357023477033924
"00:00:02,335 --> 00:00:02,369",71,9.365146,80.089061,200.061,0.0034746249496872814,5.280139222825755
"00:00:02,369 --> 00:00:02,402",72,9.365143,80.089065,200.076,0.004007635796010285,6.006448320415083
"00:00:02,402 --> 00:00:02,435",73,9.365143,80.089065,200.076,0.004007635796010285,5.925046762068595
"00:00:02,435 --> 00:00:02,469",74,9.365143,80.089065,200.076,0.004007635796010285,5.843454380573927
"00:00:02,469 --> 00:00:02,502",75,9.36514,80.089068,200.063,0.004474265680132162,6.437792345513903
"00:00:02,502 --> 00:00:02,535",76,9.36514,80.089068,200.063,0.004474265680132162,6.353986764684728
"00:00:02,535 --> 00:00:02,569",77,9.36514,80.089068,200.063,0.004474265680132162,6.26989351828563
"00:00:02,569 --> 00:00:02,602",78,9.365137,80.089072,200.082,0.0050126202383383904,6.935216317455113
"00:00:02,602 --> 00:00:02,635",79,9.365137,80.089072,200.082,0.0050126202383383904,6.848361615946188
"00:00:02,635 --> 00:00:02,669",80,9.365137,80.089072,200.082,0.0050126202383383904,6.7611213405838155
"00:00:02,669 --> 00:00:02,702",81,9.365134,80.089076,200.072,0.005553504177947097,7.399191354777776
"00:00:02,702 --> 00:00:02,736",82,9.365134,80.089076,200.072,0.005553504177947097,7.307242339404076
"00:00:02,736 --> 00:00:02,769",83,9.365134,80.089076,200.072,0.005553504177947097,7.220157111090485
"00:00:02,769 --> 00:00:02,802",84,9.365131,80.08908,200.086,0.006096244284171759,7.832433769813823
"00:00:02,802 --> 00:00:02,836",85,9.365131,80.08908,200.086,0.006096244284171759,7.7385329418259285
"00:00:02,836 --> 00:00:02,869",86,9.365131,80.08908,200.086,0.006096244284171759,7.64952228059196
"00:00:02,869 --> 00:00:02,902",87,9.365128,80.089085,200.072,0.0067169826602692185,8.332576697784006
"00:00:02,902 --> 00:00:02,936",88,9.365128,80.089085,200.072,0.0067169826602692185,8.236082280984055
"00:00:02,936 --> 00:00:02,969",89,9.365128,80.089085,200.072,0.0067169826602692185,8.144539433132094
"00:00:02,969 --> 00:00:03,003",90,9.365124,80.089089,200.082,0.007341818277850713,8.801380552867988
"00:00:03,003 --> 00:00:03,036",91,9.365124,80.089089,200.082,0.007341818277850713,8.70571337294551
"00:00:03,036 --> 00:00:03,069",92,9.365124,80.089089,200.082,0.007341818277850713,8.612103551731042
"00:00:03,069 --> 00:00:03,103",93,9.36512,80.089094,200.071,0.008044089503559605,9.332491850729802
"00:00:03,103 --> 00:00:03,136",94,9.36512,80.089094,200.071,0.008044089503559605,9.234286419902608
"00:00:03,136 --> 00:00:03,169",95,9.36512,80.089094,200.071,0.008044089503559605,9.138126289938333
"00:00:03,169 --> 00:00:03,203",96,9.365116,80.089099,200.086,0.008746997188214032,9.831155128807529
"00:00:03,203 --> 00:00:03,236",97,9.365116,80.089099,200.086,0.008746997188214032,9.730899220510048
"00:00:03,236 --> 00:00:03,269",98,9.365116,80.089099,200.086,0.008746997188214032,9.63266744495886
"00:00:03,269 --> 00:00:03,303",99,9.365112,80.089104,200.077,0.009450399317408067,10.30016274376901
